ID,City,Date,Date Unixtime
12963,"תקומה, חוות יזרעם",2023-10-08T07:52:,1696740754
13191,גברעם,2023-10-09T11:27:,1696840050
13507,"מטווח ניר עם, מפלסים",2023-10-10T13:10:,1696932606
13509,"שדרות, איבים, ניר עם",2023-10-10T13:12:,1696932772
13775,ניר עוז,2023-10-11T13:49:,1697021395
13897,אביבים,2023-10-11T17:52:,1697035954
13917,בית שאן,2023-10-11T18:19:,1697037549
13917,טבריה,2023-10-11T18:19:,1697037549
13917,צפת,2023-10-11T18:19:,1697037549
13930,"בית הלל, בן עמי, גשר הזיו, הילה, חוסן, כפר גלעדי, כפר ורדים, כפר יובל, מטולה, מנרה, מעונה, מעיין ברוך, מעיליא, מעלות תרשיחא, מרגליות, משגב עם, נהריה, סער, עברון, קריית שמונה, תל חי, אביבים, אבירים, אבן מנחם, אדמית, אזור תעשייה אכזיב מילואות, אזור תעשייה רמת דלתון, אילון, אלקוש, בית ספר שדה מירון, בצת, ברעם, ג'ש - גוש חלב, גונן, גורן, פסוטה, פקיעין, צבעון, צוריאל, קיבוץ דן, ראש הנקרה, ריחאנייה, רמות נפתלי, שאר ישוב, שדה נחמיה, שומרה, שלומי, שמיר, שניר, שתולה, גורנות הגליל, געתון, דוב''ב, דישון, דלתון, דפנה, הגושרים, זרעית, חורפיש, חניתה, יחיעם, יערה, יפתח, יראון, כברי, כפר בלום, כפר סאלד, כרם בן זמרה, להבות הבשן, לימן, מרכז אזורי מבואות חרמון, מלכיה, מנות, מצובה, מתת, נאות מרדכי, נווה זיו, נטועה, סאסא, עבדון, ע'ג'ר, עין יעקב, עלמה, עמיר, ערב אל עראמשה",2023-10-11T18:20:,1697037705
13930,"שבי ציון, מזרעה",2023-10-11T18:20:,1697037705
13930,"מעונה, מעיין ברוך, מעיליא, מעלות תרשיחא, מרגליות, משגב עם, נהריה, סער, עברון, קריית שמונה, תל חי, אביבים, אבירים, אבן מנחם, אדמית, אזור תעשייה אכזיב מילואות, אזור תעשייה רמת דלתון, אילון, אלקוש, בית ספר שדה מירון, בצת, ברעם, ג'ש - גוש חלב, גונן, גורן, גורנות הגליל, געתון, דוב''ב, דישון, דלתון, דפנה, הגושרים, זרעית, חורפיש, חניתה, יחיעם, יערה, יפתח, יראון, כברי, כפר בלום, כפר סאלד, כרם בן זמרה, להבות הבשן, לימן, מלכיה, מנות, מצובה, מרכז אזורי מבואות חרמון, מתת, נאות מרדכי, נווה זיו, נטועה, סאסא, ע'ג'ר, עבדון, עין יעקב, עלמה, עמיר, ערב אל עראמשה, פסוטה, פקיעין, בית הלל, בן עמי, גשר הזיו, קיבוץ דן, הילה, חוסן, כפר גלעדי, כפר ורדים, כפר יובל, מטולה, מנרה, צבעון, צוריאל, ראש הנקרה, ריחאנייה, רמות נפתלי, שאר ישוב, שדה נחמיה, שומרה, שלומי, שמיר, שניר, שתולה",2023-10-11T18:21:,1697037705
