ID,City,Date,Date Unixtime
12963,תקומה,2023-10-08T07:52:,1696740754
12963,חוות יזרעם,2023-10-08T07:52:,1696740754
13191,גברעם,2023-10-09T11:27:,1696840050
13507,מטווח ניר עם,2023-10-10T13:10:,1696932606
13507,מפלסים,2023-10-10T13:10:,1696932606
13509,שדרות,2023-10-10T13:12:,1696932772
13509,איבים,2023-10-10T13:12:,1696932772
13509,ניר עם,2023-10-10T13:12:,1696932772
13775,ניר עוז,2023-10-11T13:49:,1697021395
13897,אביבים,2023-10-11T17:52:,1697035954
13917,בית שאן,2023-10-11T18:19:,1697037549
13917,טבריה,2023-10-11T18:19:,1697037549
13917,צפת,2023-10-11T18:19:,1697037549
13930,בית הלל,2023-10-11T18:20:,1697037705
13930,בן עמי,2023-10-11T18:20:,1697037705
13930,גשר הזיו,2023-10-11T18:20:,1697037705
13930,הילה,2023-10-11T18:20:,1697037705
13930,חוסן,2023-10-11T18:20:,1697037705
13930,כפר גלעדי,2023-10-11T18:20:,1697037705
13930,כפר ורדים,2023-10-11T18:20:,1697037705
13930,כפר יובל,2023-10-11T18:20:,1697037705
13930,מטולה,2023-10-11T18:20:,1697037705
13930,מנרה,2023-10-11T18:20:,1697037705
13930,מעונה,2023-10-11T18:20:,1697037705
13930,מעיין ברוך,2023-10-11T18:20:,1697037705
13930,מעיליא,2023-10-11T18:20:,1697037705
13930,מעלות תרשיחא,2023-10-11T18:20:,1697037705
13930,מרגליות,2023-10-11T18:20:,1697037705
13930,משגב עם,2023-10-11T18:20:,1697037705
13930,נהריה,2023-10-11T18:20:,1697037705
13930,סער,2023-10-11T18:20:,1697037705
13930,עברון,2023-10-11T18:20:,1697037705
13930,קריית שמונה,2023-10-11T18:20:,1697037705
13930,תל חי,2023-10-11T18:20:,1697037705
13930,אביבים,2023-10-11T18:20:,1697037705
13930,אבירים,2023-10-11T18:20:,1697037705
13930,אבן מנחם,2023-10-11T18:20:,1697037705
13930,אדמית,2023-10-11T18:20:,1697037705
13930,אזור תעשייה אכזיב מילואות,2023-10-11T18:20:,1697037705
13930,אזור תעשייה רמת דלתון,2023-10-11T18:20:,1697037705
13930,אילון,2023-10-11T18:20:,1697037705
13930,אלקוש,2023-10-11T18:20:,1697037705
13930,בית ספר שדה מירון,2023-10-11T18:20:,1697037705
13930,בצת,2023-10-11T18:20:,1697037705
