ID,Date,Date Unixtime,Text
12963,2023-10-08T06:52:34,1696740754,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(08/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""07:52:""},""\n"",{""type"":""bold"",""text"":""• עוטף עזה:""},"" תקומה, חוות יזרעם \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13191,2023-10-09T10:27:30,1696840050,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(09/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""11:27:""},""\n"",{""type"":""bold"",""text"":""• עוטף עזה:""},"" גברעם \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13507,2023-10-10T12:10:06,1696932606,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(10/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""13:10:""},""\n"",{""type"":""bold"",""text"":""• עוטף עזה:""},"" מטווח ניר עם, מפלסים \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13509,2023-10-10T12:12:52,1696932772,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(10/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""13:12:""},""\n"",{""type"":""bold"",""text"":""• עוטף עזה:""},"" שדרות, איבים, ניר עם \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13775,2023-10-11T12:49:55,1697021395,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(11/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""13:49:""},""\n"",{""type"":""bold"",""text"":""• עוטף עזה:""},"" ניר עוז \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13897,2023-10-11T16:52:34,1697035954,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(11/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""17:52:""},""\n"",{""type"":""bold"",""text"":""• קו העימות:""},"" אביבים \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13917,2023-10-11T17:19:09,1697037549,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(11/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""18:19:""},""\n"",{""type"":""bold"",""text"":""• בקעת בית שאן:""},"" בית שאן \n"",{""type"":""bold"",""text"":""• גליל תחתון:""},"" טבריה \n"",{""type"":""bold"",""text"":""• גליל עליון:""},"" צפת \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13930,2023-10-11T17:21:45,1697037705,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(11/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""18:20:""},""\n"",{""type"":""bold"",""text"":""• קו העימות:""},"" בית הלל, בן עמי, גשר הזיו, הילה, חוסן, כפר גלעדי, כפר ורדים, כפר יובל, מטולה, מנרה, מעונה, מעיין ברוך, מעיליא, מעלות תרשיחא, מרגליות, משגב עם, נהריה, סער, עברון, קריית שמונה, תל חי, אביבים, אבירים, אבן מנחם, אדמית, אזור תעשייה אכזיב מילואות, אזור תעשייה רמת דלתון, אילון, אלקוש, בית ספר שדה מירון, בצת, ברעם, ג'ש - גוש חלב, גונן, גורן, פסוטה, פקיעין, צבעון, צוריאל, קיבוץ דן, ראש הנקרה, ריחאנייה, רמות נפתלי, שאר ישוב, שדה נחמיה, שומרה, שלומי, שמיר, שניר, שתולה, גורנות הגליל, געתון, דוב''ב, דישון, דלתון, דפנה, הגושרים, זרעית, חורפיש, חניתה, יחיעם, יערה, יפתח, יראון, כברי, כפר בלום, כפר סאלד, כרם בן זמרה, להבות הבשן, לימן, מרכז אזורי מבואות חרמון, מלכיה, מנות, מצובה, מתת, נאות מרדכי, נווה זיו, נטועה, סאסא, עבדון, ע'ג'ר, עין יעקב, עלמה, עמיר, ערב אל עראמשה \n"",{""type"":""bold"",""text"":""• גליל עליון:""},"" שבי ציון, מזרעה \n\n"",{""type"":""italic"",""text"":""18:21:""},""\n"",{""type"":""bold"",""text"":""• קו העימות:""},"" מעונה, מעיין ברוך, מעיליא, מעלות תרשיחא, מרגליות, משגב עם, נהריה, סער, עברון, קריית שמונה, תל חי, אביבים, אבירים, אבן מנחם, אדמית, אזור תעשייה אכזיב מילואות, אזור תעשייה רמת דלתון, אילון, אלקוש, בית ספר שדה מירון, בצת, ברעם, ג'ש - גוש חלב, גונן, גורן, גורנות הגליל, געתון, דוב''ב, דישון, דלתון, דפנה, הגושרים, זרעית, חורפיש, חניתה, יחיעם, יערה, יפתח, יראון, כברי, כפר בלום, כפר סאלד, כרם בן זמרה, להבות הבשן, לימן, מלכיה, מנות, מצובה, מרכז אזורי מבואות חרמון, מתת, נאות מרדכי, נווה זיו, נטועה, סאסא, ע'ג'ר, עבדון, עין יעקב, עלמה, עמיר, ערב אל עראמשה, פסוטה, פקיעין, בית הלל, בן עמי, גשר הזיו, קיבוץ דן, הילה, חוסן, כפר גלעדי, כפר ורדים, כפר יובל, מטולה, מנרה, צבעון, צוריאל, ראש הנקרה, ריחאנייה, רמות נפתלי, שאר ישוב, שדה נחמיה, שומרה, שלומי, שמיר, שניר, שתולה \n"",{""type"":""bold"",""text"":""• גליל עליון:""},"" נחף, נס עמים, נתיב השיירה, סאג'ור, עין אל אסד, עין המפרץ, עכו - אזור תעשייה, עכו, עמיעד, צורית גילון, צפת, ראמה, ראש פינה, שבי ציון, שומרת, שזור, שייח' דנון, אבו סנאן, אור הגנוז, איילת השחר, אמירים, אשרת, בר יוחאי, ג'וליס, גדות, גיתה, חולתה, טל-אל, ינוח-ג'ת, יסוד המעלה, ירכא, כיסרא סמיע, כישור, כליל, כפר יסיף, כפר שמאי, לוחמי הגטאות, לפידות, מזרעה, מירון, מרכז אזורי מרום גליל, משמר הירדן, ספסופה - כפר חושן, עין כמונים, עמוקה, עמקה, פלך, פרוד, אזור תעשייה חצור הגלילית, אזור תעשייה כרמיאל, אזור תעשייה צ.ח.ר, אליפלט, אמנון, בוסתן הגליל, ביריה, בית ג'אן, בית העמק, בענה, ג'דידה מכר, דיר אל-אסד, הר-חלוץ, חצור הגלילית, חרשים, טובא זנגריה, כורזים ורד הגליל, כפר הנשיא, כפר מסריק, כרכום, כרמיאל, לבון, מג'דל כרום, מחניים, מנחת מחניים, קדיתא, רגבה, שדה אליעזר, שפר, תובל \n"",{""type"":""bold"",""text"":""• דרום הגולן:""},"" אבני איתן, אלוני הבשן, אלי עד, אניעם, אפיק, בני יהודה וגבעת יואב, גשור, האון, חד נס, חספין, יונתן, כנף, כפר חרוב, מבוא חמה, מיצר, מסדה, מעגן, מעלה גמלא, נאות גולן, נוב, נטור, עין גב, אזור תעשייה בני יהודה, אלמגור, חמת גדר, קדמת צבי, קצרין, קצרין - אזור תעשייה, קשת, רמות, רמת מגשימים, שער הגולן, תל קציר \n"",{""type"":""bold"",""text"":""• צפון הגולן:""},"" אודם, אורטל, אל רום, בוקעתא, מג'דל שמס, מסעדה, מרום גולן, נווה אטי''ב, נמרוד, עין זיוון, עין קנייא, קלע, שעל \n"",{""type"":""bold"",""text"":""• גליל תחתון:""},"" אזור תעשייה צמח, המכללה האקדמית כנרת \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13933,2023-10-11T17:24:03,1697037843,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(11/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""18:24:""},""\n"",{""type"":""bold"",""text"":""• גליל תחתון:""},"" טבריה, כפר נהר הירדן, מצפה, אזור תעשייה קדמת גליל, אלומות, אפיקים, ארבל, אתר ההנצחה גולני, בית זרע, בית ירח, גבעת אבני, גינוסר, דגניה א, דגניה ב, הודיות, הזורעים, ואדי אל חמאם, חוקוק, יבנאל, כינרת מושבה, כינרת קבוצה, כפר זיתים, כפר חיטים, כפר כמא, לביא, לבנים, מגדל, פוריה כפר עבודה, פוריה נווה עובד, פוריה עילית, רביד, שדה אילן, שרונה \n"",{""type"":""bold"",""text"":""• העמקים:""},"" אילניה \n"",{""type"":""bold"",""text"":""• דרום הגולן:""},"" אשדות יעקב איחוד, אשדות יעקב מאוחד \n"",{""type"":""bold"",""text"":""• מרכז הגליל:""},"" בועיינה-נוג'ידאת, בית סוהר צלמון, טפחות, כלנית, כפר חנניה, מסד, מע'אר, מצפה נטופה, עילבון, עינבר \n"",{""type"":""bold"",""text"":""• גליל עליון:""},"" כחל, קדרים \n"",{""type"":""bold"",""text"":""• בקעת בית שאן:""},"" מנחמיה \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
13935,2023-10-11T17:26:09,1697037969,"[{""type"":""bold"",""text"":""✈️ חדירת כלי טיס עוין""},"" "",{""type"":""italic"",""text"":""(11/10/2023)""},"":\n\n"",{""type"":""italic"",""text"":""18:26:""},""\n"",{""type"":""bold"",""text"":""• בקעת בית שאן:""},"" בית שאן \n"",{""type"":""bold"",""text"":""• קו העימות:""},"" דישון, עלמה \n"",{""type"":""bold"",""text"":""• גליל תחתון:""},"" טבריה \n"",{""type"":""bold"",""text"":""• גליל עליון:""},"" צפת \n"",{""type"":""bold"",""text"":""• העמקים:""},"" רם און \n\n"",{""type"":""text_link"",""text"":""צופר - צבע אדום"",""href"":""https://t.me/tzevaadomm""},""""]"
